comp_number	sp1	sp2	sp3	outgroup	type	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA	overlap
1	galdep	galsps	galgol	galbrenz	sympatry	0.377383	9.14223	2.30E-16	0.0806317	905.721	255.82	115.638	5
2	galsps	galdep	galano	galbrenz	sympatry	0.134197	3.10688	0.00189076	0.0219442	845.499	229.097	174.884	4
3	galdep	galtev	galpul	galbrenz	sympatry	0.137161	3.4768	0.000507441	0.0468763	871.308	185.207	140.529	3
4	galgol	galspz	galspd	galbrenz	sympatry	0.265416	5.39945	6.68E-08	0.0574415	823.669	198.567	115.27	4
5	galgol	galano	galspd	galbrenz	sympatry	0.362077	8.62426	2.30E-16	0.0981057	726.337	266.366	124.752	4
6	galgol	galano	galpul	galbrenz	pastcontact	0.180163	3.62465	0.000289355	0.0386056	955.054	146.601	101.841	1
7	galvul	galdep	galeld	galbrenz	pastcontact	0.20078	6.83281	8.33E-12	0.0643682	750.883	250.571	166.776	2
8	galgol	galnev	galspd	galbrenz	pastcontact	0.185866	3.53126	0.000413591	0.0183186	1297.21	84.2793	57.8604	1
9	galgol	galano	galeld	galbrenz	pastcontact	0.298477	5.94884	2.70E-09	0.0496944	938.396	170.769	92.261	1
10	galvul	galdep	galpul	galbrenz	pastcontact	0.205049	5.40097	6.63E-08	0.080972	864.092	236.803	156.215	1
11	galvul	galdep	galgol	galbrenz	allopatry	0.122188	3.1003	0.00193324	0.0283122	939.381	226.741	177.364	0
13	galeld	galpul	galgol	galbrenz	allopatry	0.00336455	0.0961846	0.923374	0.000693215	626.236	191.768	190.482	0
14	galvul	galspd	galeld	galbrenz	allopatry	0.00847041	0.175043	0.861046	0.00220188	926.993	169.847	166.994	0
16	galsps	galspn	galeld	galbrenz	allopatry	0.0936822	1.57364	0.11557	0.025136	779.405	187.573	155.439	0
17	galano	galspz	galvul	galbrenz	allopatry	0.268403	4.14177	3.45E-05	0.0516782	963.399	184.801	106.591	0
