comp_number	sp1	sp2	sp3	outgroup	type
1	galdep	galsps	galgol	galbrenz	sympatry
2	galsps	galdep	galano	galbrenz	sympatry
3	galdep	galtev	galpul	galbrenz	sympatry
4	galgol	galspz	galspd	galbrenz	sympatry
5	galgol	galano	galspd	galbrenz	sympatry
6	galgol	galano	galpul	galbrenz	pastcontact
7	galvul	galdep	galeld	galbrenz	pastcontact
8	galgol	galnev	galspd	galbrenz	pastcontact
9	galgol	galano	galeld	galbrenz	pastcontact
10	galvul	galdep	galpul	galbrenz	pastcontact
11	galvul	galdep	galgol	galbrenz	allopatry
12	galsps	galspn	galgol	galbrenz	allopatry
13	galdep	galtev	galsps	galbrenz	allopatry
14	galeld	galpul	 galgol	galbrenz	allopatry
15	galano	galspz	galgol	galbrenz	allopatry
16	galnev	galgol	galdep	galbrenz	allopatry
