comp_number     sp1     sp2     sp3     outgroup        type
1       galdep  galsps  galgol  galbrenz        sympatry
2       galsps  galdep  galano  galbrenz        sympatry
3       galdep  galtev  galpul  galbrenz        sympatry
4       galgol  galspz  galspd  galbrenz        sympatry
5       galgol  galano  galspd  galbrenz        sympatry
6       galgol  galano  galpul  galbrenz        pastcontact
7       galvul  galdep  galeld  galbrenz        pastcontact
8       galgol  galnev  galspd  galbrenz        pastcontact
9       galgol  galano  galeld  galbrenz        pastcontact
10      galvul  galdep  galpul  galbrenz        pastcontact
11      galvul  galdep  galgol  galbrenz        allopatry
12      galdep  galtev  galsps  galbrenz        allopatry
13      galpul  galeld  galgol  galbrenz        allopatry
14      galvul  galspd  galeld  galbrenz        allopatry
15      galdep  galtev  galspd  galbrenz        pastcontact
16      galsps  galspn  galeld  galbrenz        allopatry
17      galano  galspz  galvul  galbrenz        allopatry
18      galdep  galtev  galvul  galbrenz        allopatry
